_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LATITUDE,LONGITUDE,geometry
23299,293,525550,DOWNSVIEW SECONDARY SCHOOL,,EP,Toronto District School Board,7 HAWKSDALE RD,English Public,525550,7,Hawksdale Rd,7 Hawksdale Rd,M3K 1W3,North York,Toronto,Downsview Secondary School,102002,443858,7,,,,5805,306450.067,4843435.011,43.730867839,-79.479517489,"{u'type': u'Point', u'coordinates': (-79.4795174893, 43.7308678404)}"
23300,294,8351468,DOWNTOWN ALTERNATIVE SCHOOL,,EP,Toronto District School Board,85 LOWER JARVIS ST,English Public,8351468,85,Lower Jarvis St,85 Lower Jarvis St,M5E 1R8,former Toronto,Toronto,Downtown Alternative Junior School,102001,8351467,85,,,,9348,315253.718,4834207.444,43.6477447189,-79.37041888,"{u'type': u'Point', u'coordinates': (-79.3704156513, 43.6477361332)}"
23301,295,11048083,DR MARION HILLIARD SENIOR PUBLIC SCHOOL,,EP,Toronto District School Board,280 WASHBURN WAY,English Public,11048083,280,Washburn Way,280 Washburn Way,M1B 2P3,Scarborough,Toronto,Dr Marion Hilliard Senior Public School,102001,11048082,280,,,,9193,326941.42600000004,4851561.469,43.803694693599994,-79.2248250313,"{u'type': u'Point', u'coordinates': (-79.2248218323, 43.80368608)}"
23302,296,3070250,DR NORMAN BETHUNE COLLEGIATE INSTITUTE,,EP,Toronto District School Board,200 FUNDY BAY BLVD,English Public,3070250,200,Fundy Bay Blvd,200 Fundy Bay Blvd,M1W 3G1,Scarborough,Toronto,Overcomers Christian Fellowship Church,109001,3065529,200,,,,7938,319327.122,4852482.181,43.8121707571,-79.3194316359,"{u'type': u'Point', u'coordinates': (-79.3194284089, 43.8121621401)}"
23303,297,7273971,DREWRY SECONDARY SCHOOL,,EP,Toronto District School Board,70 DREWRY AVE,English Public,7273971,70,Drewry Ave,70 Drewry Ave,M2M 1C8,North York,Toronto,Drewry Secondary School,102002,14128642,70,,,,5435,311141.081,4849671.848,43.786990077,-79.42121694640001,"{u'type': u'Point', u'coordinates': (-79.4212136872, 43.7869814733)}"
23304,298,509370,DRIFTWOOD PUBLIC SCHOOL,,EP,Toronto District School Board,265 DRIFTWOOD AVE,English Public,509370,265,Driftwood Ave,265 Driftwood Ave,M3N 2N6,North York,Toronto,Driftwood Public School,102001,30077880,265,,,,5437,303591.906,4847001.476,43.762971183000005,-79.515004258,"{u'type': u'Point', u'coordinates': (-79.5150042553, 43.7629711864)}"
23305,299,485548,DUBLIN HEIGHTS ELEMENTARY & MIDDLE SCHOOL,,EP,Toronto District School Board,100 BAINBRIDGE AVE,English Public,485548,100,Bainbridge Ave,100 Bainbridge Ave,M3H 2K2,North York,Toronto,Dublin Heights Elementary and Ms,102001,441419,100,,,,4862,309066.378,4845467.058999999,43.749148308,-79.44702473699999,"{u'type': u'Point', u'coordinates': (-79.4470247426, 43.7491483094)}"
23306,300,578489,DUKE ACADEMY SECONDARY SCHOOL,,PR,,4576 YONGE ST,Private,578489,4576,Yonge St,4576 Yonge St,M2N 6N4,North York,Toronto,,104008,440623,4576,,,,4733,312039.61600000004,4846242.937,43.7561176624,-79.4100991271,"{u'type': u'Point', u'coordinates': (-79.4100958776, 43.7561090603)}"
23307,301,6362823,DUKE OF CONNAUGHT JUNIOR & SENIOR PUBLIC SCHOOL,,EP,Toronto District School Board,70 WOODFIELD RD,English Public,6362823,70,Woodfield Rd,70 Woodfield Rd,M4L 2W6,former Toronto,Toronto,Duke Of Connaught Ps Jr & Sr.,102001,14022648,70,,,,4712,319158.466,4836265.423,43.666195513999995,-79.321957845,"{u'type': u'Point', u'coordinates': (-79.3219578467, 43.6661955194)}"
23308,302,7576813,DUNDAS JUNIOR PUBLIC SCHOOL,,EP,Toronto District School Board,935 DUNDAS ST E,English Public,7576813,935,Dundas St E,935 Dundas St E,M4M 1R4,former Toronto,Toronto,Dundas Junior Public School,102001,14047337,935,,,,3334,317003.743,4835803.683,43.662077745,-79.348686332,"{u'type': u'Point', u'coordinates': (-79.3486863276, 43.6620777466)}"
